what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1363062201101
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1363062201101
java.vm.version,sysinfo,,,"20.0-b12",1363062201101
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1363062203711
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1363062203946
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363062204021
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363062204167
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363062205461
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363062205496
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363062206964
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062260308
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062315128
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062316333
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062346725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062354069
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062388727
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363062390154
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363062391097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062396820
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062411875
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062414732
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062476706
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1363062477367
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1363062477411
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062479351
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1363062493053
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1363062493089
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1363062493099
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062493169
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062494730
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062498982
executed,command,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui.add.block.comment",1363062509033
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363062512067
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363062517544
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062525739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363062548523
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363062553401
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363062559579
