what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1363326771895
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1363326771931
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363326772977
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363326774716
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363326779779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363326800155
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363326801398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363326810039
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363326813812
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363326820718
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363326830538
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363326835861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363326837307
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363326844308
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363326866065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363326871420
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328625975
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328636683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363328652332
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363328654159
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328656671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328666559
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328683487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328692706
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363328700925
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363328714074
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328715190
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328725494
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363328738663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328739950
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328757964
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363328823905
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363328825414
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328826470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328854845
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363328874488
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363328877539
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328882245
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363328908260
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363328910314
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363328933627
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363328947331
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363328966769
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363328967123
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329026043
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329027437
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329048813
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329055724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329152779
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329183082
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329192725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329195220
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329284469
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329288138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329300579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329353380
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329375595
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329453731
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329493201
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329505120
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329543851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329547076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1363329555849
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329557393
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329663882
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329676499
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329688807
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329690264
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329703627
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329710762
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329712095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329755039
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329762187
executed,command,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.edit.text.java.add.block.comment",1363329809671
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329810485
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329829798
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329840732
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329875946
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329908861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329910254
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329914462
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363329926054
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363329930965
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363329962958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1363329969837
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1363329974934
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329976294
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363329987424
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363330015150
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363330018087
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1363330024093
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363330024878
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363330041455
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1363330093838
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363330095261
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363330107196
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1363330119684
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363330120269
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363330145603
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363330164437
