what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247028682
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247034579
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247043579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247067724
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363247073771
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363247085476
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363247100848
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247102801
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247112691
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363247119338
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247121209
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247126242
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363247133896
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363247134272
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247168065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247178489
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363247189428
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247243704
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247269584
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363247306545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247309184
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247318727
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363247327043
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247328999
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247334966
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363247337080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363247337409
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363247338070
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363247338528
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363247348198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247350817
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247356751
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247422456
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247428031
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363247469109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363247469448
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363247492902
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252273337
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363252278400
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363252280016
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252282638
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252294623
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363252301587
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363252302282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252304622
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252312307
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363252321303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252322741
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252329623
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252333142
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252352641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252361101
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252366034
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363252367917
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363252372652
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363252376682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252378671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252385487
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363252391273
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363252391688
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363252392161
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363252392563
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363252393611
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363252395374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1363252397445
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1363252397961
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363252404138
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252405789
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252780599
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363252788378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253171256
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253172600
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253313791
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253315479
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253498594
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253502885
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253524037
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253528334
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253601088
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363253606453
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254432434
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254434383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254465005
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363254471864
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254473759
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254490210
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363254509069
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1363254513840
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363254521717
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363254527029
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254528694
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254545636
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254566830
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254595464
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254607886
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254655104
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254696917
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254744212
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363254824938
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363254842141
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363254842453
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363254842984
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363254843385
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363254912821
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363254944077
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363254978771
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254980899
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363254992286
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363255003194
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255006587
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255015347
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363255053359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255054771
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255061853
error,log,,,"Exception occurred during problem detection:\n----------------------------------- SOURCE BEGIN -------------------------------------\n//display table employee\n$(document).ready(function() {\n\tconsole.log(""document ready"");\n\tvar json_path =""http://10.7.1.79/LearningDjango/employees/"";\n    $.ajax({\n\t\turl: ""html/populate_list_employee.html"",\n\t\tasync:false,\n\t\tsuccess: function(object) {\n\t    \t\t\t$.getJSON(json_path,function(obj){\n\t    \t\t\t\tfor(var i=0; i<obj.data.length; i++){\n\t    \t\t\t\t\tconsole.log(obj.data[i].id);\n\t    \t\t\t\t\t$('#viewDetails').append(object); \n\t    \t\t\t\t\t$(""input[name=selected]"").last().attr(""id"",obj.data[i].id);\n\t    \t\t\t\t\t$('tr:last-child #eID').html(obj.data[i].id);\n\t    \t\t\t\t\t$('tr:last-child #first_name').html(obj.data[i].first_name);\n\t    \t\t\t\t\t$('tr:last-child #last_name').html(obj.data[i].last_name);\n\t    \t\t\t\t\t$('tr:last-child #designation').html(obj.data[i].designation);\n\t    \t\t\t\t\t$('tr:last-child #sal').html(obj.data[i].sal);\n\t    \t\t\t\t\t$('tr:last-child #email_id').html(obj.data[i].email_id);\n\t    \t\t\t\t\t$('tr:last-child #office_address').html(obj.data[i].office_address);\n\t    \t\t\t\t\t$('tr:last-child #phone_no').html(obj.data[i].phone_no);\n\t    \t\t\t\t\t$('input[name=selected]').last().click(cheked);\n\t    \t\t\t\t}\n\t    \t\t\t});\n    \t\t\t}\n    });//ajax\n});\n\nvar cheked = function(){\n\t\n\t    //var isOneChecked = $(""input[type='checkbox']:checked"").length > 0;\n\t    var selection_count = $(""input[type='checkbox']:checked"").length ;\n\t    if(selection_count > 0){\n\t    \t$(""#edit-btn"").show();\n    \t\t$(""#delete-btn"").show();\n    \t\tif(selection_count>1)\n    \t\t\t{\n    \t\t\t$(""#edit-btn"").hide();\n    \t\t\t}\n\t    }\n\t    else{\n\t    \t$(""#edit-btn"").hide();\n    \t\t$(""#delete-btn"").hide();\n\t    }\n}\n\n\n----------------------------------- SOURCE END -------------------------------------",1363255078083
error,log,,,"Error in JSDT Core during reconcile",1363255078085
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363255082427
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255084658
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255093303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255102802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255114577
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363255126972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255129330
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255137683
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363255145333
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255147658
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255166222
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363255178055
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363255180028
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255183706
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255188345
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363255201323
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363255212094
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363255214233
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363255214339
error,log,,,"Error in JSDT Core during AST creation",1363255214340
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363255218650
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363255224816
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363255231777
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255233962
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255242448
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363255247128
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363255247397
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363255249243
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363255249504
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255255674
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255258602
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363255260551
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363255260844
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255352282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255962164
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363255963139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258137036
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363258177387
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363258179310
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258181854
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258190014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363258194939
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258197157
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258212227
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258213627
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258821072
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363258839175
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258840881
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258848198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258915448
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363258973986
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363258978671
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363258979094
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363259627995
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363259653291
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363259653835
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363261668487
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363261697597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363261699405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363261810953
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363261815037
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363261827868
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363261902120
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363261929980
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363261946127
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363261954147
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363261957848
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363261958013
error,log,,,"Error in JSDT Core during AST creation",1363261958013
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363261968745
error,log,,,"Error in JSDT Core during AST creation",1363261968746
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363261970321
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363261970815
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363261973563
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363262007524
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363262011507
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363262070558
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363262080256
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1363262084366
