what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363587837775
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363587875149
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363587887715
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363587922969
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363587943831
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363587944342
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363587956318
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363587971730
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363587972283
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363587988742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363588028301
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1363588034083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363588039422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588040580
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588048542
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363588065400
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588066579
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588090546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363588133947
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363588150735
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588155095
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588192839
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363588225806
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363588230940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588231369
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588280803
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363588299106
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588299661
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588323985
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588344913
error,log,,,"Internal Error",1363588346700
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588346726
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363588348626
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588349149
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363588383291
