what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363679538331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363679544398
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363679566597
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363679597090
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363679597771
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363679607928
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363679635648
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363679636745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363679645318
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363679662115
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363679662686
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363679678485
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363682373660
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682379635
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363682386596
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682390096
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1363682391952
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682391977
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363682395159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682400408
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363682400499
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682404132
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682405294
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682410559
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363682413800
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682417979
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682418031
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682419986
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1363682420841
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363682421475
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682422322
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682422380
opened,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682423046
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682423083
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682423669
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363682425288
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682431545
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682434235
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363682451328
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682459521
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682467256
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682468755
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682487604
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682489564
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682497117
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682503475
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682534722
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682543804
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682560889
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682567268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682577608
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682598132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682606173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682627979
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682629831
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682631405
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682631730
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682632975
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682633390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682633686
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682633955
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682634194
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682634428
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682634719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682635432
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682635969
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682636464
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682637121
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682638339
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682640422
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682640899
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682641741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682643151
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682647393
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682648523
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682649022
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682649432
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682649924
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682652046
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363682652681
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682654417
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682655596
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682660030
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363682663834
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363682666651
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363682677438
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363682681220
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363682682906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682708248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682727939
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682733155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682740356
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682749638
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682751315
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682766461
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682781103
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682782179
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682795083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682820688
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682825722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682862822
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363682867607
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363682873961
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363682875743
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682879802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682884524
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363682885808
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682887361
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682888753
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682895907
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682909357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682911282
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682920940
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682956002
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682957689
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363682975468
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363682995401
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363683002597
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683014449
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683017310
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363683020070
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683030649
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683040931
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683061377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683072604
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683083368
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683107459
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683113465
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683116633
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683122094
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683142124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683144316
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683145609
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683149592
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683153876
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683154543
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683172117
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363683175381
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683176319
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363683185048
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683186389
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683187099
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683196251
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683227123
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683227766
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683270035
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683279538
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363683315645
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363683317428
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683318907
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683326824
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683327416
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683332604
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683389367
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683422799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683424038
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683492964
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363683494764
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683505634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683507374
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683541847
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363683550475
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363683560400
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363683560746
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683563733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683568784
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363683573307
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683574541
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683582116
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363683583474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363683588089
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363683597173
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683599430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683691194
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683693596
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683741980
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363683748910
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363683749065
error,log,,,"Error in JSDT Core during AST creation",1363683749066
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363683750178
error,log,,,"Error in JSDT Core during AST creation",1363683750178
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683929739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683933566
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363683936203
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363683944764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684003738
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363684006977
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363684007130
error,log,,,"Error in JSDT Core during AST creation",1363684007131
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363684011088
error,log,,,"Error in JSDT Core during AST creation",1363684011088
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363684011814
error,log,,,"Error in JSDT Core during AST creation",1363684011814
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363684015768
error,log,,,"Error in JSDT Core during AST creation",1363684015768
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1363684019616
error,log,,,"Error in JSDT Core during AST creation",1363684019617
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363684020066
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684021390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684096206
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363684107668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363684146028
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684146938
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684225629
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684227206
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684230372
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363684232389
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363684252861
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684265156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684268605
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363684282333
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684283032
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684319884
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363684326401
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363684328165
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684329577
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684347715
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363684350072
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363684353126
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1363684354671
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363684366819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684368631
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684384809
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684390755
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684503979
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363684598026
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1363684610792
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363684611948
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684614518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684679321
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363684681441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1363684695653
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684695670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684715401
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363684785369
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363684796562
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684800624
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363684806149
