what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363669469506
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669486855
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669492278
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363669504158
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363669510025
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363669523209
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363669528561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669530926
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669572328
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1363669573956
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363669584483
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363669590865
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363669592388
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363669592700
activated,editor,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1363669595625
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363669602003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363669602493
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1363669607088
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363669611323
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1363669615840
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.delete.line",1363669624840
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363669625152
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1363669629638
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669634750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669676599
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363669691162
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669692469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669711183
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1363669731210
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669732469
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363669739782
